word,x,y,node_id
人道主義,0.04011032424222072,-0.22605616050085253,0
直到,0.058043398409396346,0.08838761445945786,1
左右,-0.025493835257323898,0.2501296468671084,2
森林,0.20330898443681578,-0.14248416114985238,3
要求,0.021950606071851314,-0.06008625594248495,4
少女,0.24193766758641602,-0.05173850170879131,5
他倆,-0.41941800714055283,-0.08717049891497618,6
並且,0.17246713851739273,-0.2914098289002486,7
山上,-0.19473422569195173,-0.15901426919546935,8
意思,-0.1562383532605584,0.11206516989050067,9
兄弟,-0.20830970721105319,-0.08438946580704777,10
一句,-0.45257900296529985,-0.9060818335886442,11
人們,-0.1389899314260263,0.21713637018409906,12
走進,0.7159300335965474,-0.7634795783111411,13
一口氣,-0.8831399084196733,0.4108199005188358,14
緊緊,0.9272727999035971,0.3834159957808553,15
不到,-0.7128763663592195,0.7879347514594758,16
陽光,-0.2443122650805156,-0.9317018946245178,17
聽說,0.8738365627552739,0.26740645563437143,18
不肯,0.566876488605103,0.6338006239620472,19
一輛,-0.48345508936822074,0.8517382158961936,20
仍然,-0.04048200511508122,0.5886415494914028,21
不料,-0.7384008565502493,-0.303547952763145,22
海濱,0.39894732681808187,0.9248236815169182,23
等待,-0.6271954287892659,0.08781621461769908,24
來不及,-0.05147613339868502,-0.9929271669728146,25
將來,0.46839944378230564,-0.8582404309207963,26
不久,0.024066498032739823,-0.6310215145221417,27
姑娘,0.7471014060404508,0.5452668817413441,28
一大,-0.44238328623486894,0.4049595296735977,29
隨着,-0.6267715689784016,-0.6002013540879262,30
充滿,0.6038161196913946,0.8276998009580643,31
帶來,0.813578843639127,-0.08904683070047367,32
登陸,0.887376650468161,-0.3401699759783595,33
遭遇,-0.3942394943006736,0.9451662037135222,34
絕對,0.061591267748845366,-0.8448132849122886,35
特地,-0.9267453133275745,-0.2724830093800212,36
顯得,0.9758387018328162,0.11022893340748142,37
可愛,-0.8985565447456219,-0.1251700324886769,38
天空,0.2602526751861756,-0.8843123001848572,39
祝福,0.792654644361185,-0.5864707221857449,40
一年,0.09760959059644408,0.9922015773048208,41
不用,0.17131985096837643,0.9378640872827072,42
等候,-0.7486754203208396,-0.5037847948038535,43
王子,-0.8679888898528871,0.2156479473026542,44
昨晚,-0.5823658278126694,-0.7283522176095754,45
新郎,-0.3788386633010273,-0.7690767417790523,46
大人,-0.8107860428010887,0.5000483726559671,47
路上,0.9620230595636345,-0.21701769710461005,48
毫無,0.6691040669795252,-0.55626151690614,49
二哥,0.8860462586175523,0.551830053629127,50
生命,-0.6328690993199316,0.7007112003898064,51
計劃,0.9015142667147358,-0.4691605532068033,52
一套,0.5170888052245376,-0.7634654971812794,53
姐姐,-0.11051080846620817,0.9618380441341001,54
蝴蝶,-0.26223140489523633,0.9724019759945229,55
輪船,-1.0,-0.030844756134094434,56
