word,x,y,node_id
人道主義,-0.7697776272649856,-0.15834155207794035,0
新詩,0.011180795274627594,-0.15239447935929043,1
太平,0.1353726149936069,0.3339638291647337,2
世界,-0.11116911088394875,-0.45566080632373873,3
天氣,-0.07681709003735959,-0.07908948037979611,4
東西,0.2525773092133761,0.12034305877155832,5
從沒,-0.40727329312530874,-0.08649801127698015,6
作家,-0.06632502400005538,0.3656701408253026,7
女詩人,-0.20057980180879095,0.045128312644787116,8
十條,-0.7911987008304784,-0.48048885237415645,9
雜誌,0.7094899242371739,0.5658897608815935,10
物極必反,0.930695902132357,0.2306040441462288,11
刻苦,-0.4772960382471291,-0.7126859782079583,12
酒鬼,-0.6895441788431115,-0.5556469716247835,13
阿順,-0.10805014076319935,0.9847239099589038,14
目標,0.8798329297667771,-0.2476266623833983,15
人類,-0.8012361003094502,0.3063904678057418,16
顧客,-0.03106625268813958,-0.87477447373801,17
反而,0.9611740981733083,-0.10728992583960394,18
蘿蕾蒂,0.6526169382038216,-0.7953922405053412,19
平仄,-0.9578667231619206,-0.07045832067149396,20
歌聲,0.3452661210676041,-0.926987132112286,21
心靈,0.5137643619846606,-0.8321214514400191,22
二十世紀,0.8039971237688853,0.5729259140603187,23
有人,0.38967392045261917,0.8780252060451808,24
代表,-0.794024023101294,0.6455653858257991,25
傳達,-0.8000799935713098,0.47899387418501704,26
日子,-0.8569289876423891,-0.2970174862170959,27
司機,-0.14419105199931365,-0.8963244596410308,28
兒子,-0.8403572589274735,-0.5813237402993331,29
絕非,0.1029836883747698,0.8632157612224665,30
燦爛,-0.2708603899606586,0.9493627497090228,31
理性,0.4074822912847934,-0.7130106104001835,32
死,-0.3967549958038896,0.7886199481595106,33
十年,0.8687200389969157,-0.1064706287615435,34
寶石,0.9495677243133183,-0.31219742419361357,35
工整,-0.711408692631122,-0.660328906647013,36
個子,-0.8398152096151904,-0.3885130292224666,37
民族,-0.38346610119535257,-0.8170797152671322,38
特地,0.1443499551329421,-0.8934694629873864,39
政綱,-0.24321154176034487,-0.9471301476403301,40
解放出來,-0.8996606828267201,0.43606952758612244,41
晚霞,-0.9775285790231658,0.11553882186399371,42
組織,-0.6236760290998244,-0.8174949602857486,43
參加,-0.5937077072694875,0.6342485016566555,44
阿端,-0.5349763061356506,0.7702603700703815,45
着重,0.1376166328357151,0.9742675221182806,46
英語,0.5927199783387769,-0.7223869201059757,47
老,1.0,0.030649745282654812,48
老太婆,0.9114426651011838,0.36005291456347804,49
時間,0.3886446719695297,0.7909620343821344,50
人物,0.3951846571167415,-0.8332839094827237,51
房子,-0.8215611348373976,-0.07068419082476253,52
讀書,0.8958112363487288,0.4730575753446304,53
火球,-0.6012638925763333,-0.6994098958712271,54
已有,-0.4688949215420996,-0.8632777677950112,55
逝去,0.7170919154176646,-0.5389203282603449,56
功課,0.6745376349178385,-0.6607408338394097,57
加上,-0.2863689957885,-0.8488790198929717,58
牢騷,-0.557709355989373,0.8568570364639544,59
三十歲,-0.7225200290973911,0.5537556604663277,60
眼淚,0.5278661004928009,0.768397237365098,61
英雄主義,0.8774605661277229,-0.40973294808677624,62
下午,0.7594591484789396,0.7312790995478725,63
個性,-0.398655868245115,0.9199906903964097,64
音樂,0.5350201720930314,0.8697132568994912,65
生命,0.6433682616600216,0.7334066472537182,66
革命,0.24225111019098677,0.9185966301001727,67
客人,-0.8932979563409684,0.2920205056895512,68
原本,0.04969976995179988,-0.9190298155828265,69
房門,0.7550948976139167,0.3464051245444451,70
階級,0.23061948451368638,-0.908051246486625,71
美,-0.18376796255733602,0.8784917240824801,72
木塊,-0.008835953771928548,0.9505888862275012,73
半山,0.8177105128014366,-0.4835199595790772,74
散文,-0.7038461175020622,0.7482908647089088,75
崇拜,0.7997245287807557,-0.6264061802824169,76
一陣,0.9397813016064746,0.12457699086254861,77
動機,-0.9042811629537395,0.1432401950848469,78
