word,x,y,node_id
人道主義,0.18656216024397848,0.38876885766671493,0
新詩,0.2914095780273885,0.17472038526622843,1
東西,-0.07365103927733058,0.3510639164208914,2
作家,0.08226687180067642,-0.10941223068917684,3
風格,-0.04648386383035115,-0.22382931825149338,4
世界,0.1621252637496406,0.17560285633609424,5
太平,-0.03242560521908923,0.06452822083741756,6
木偶,-0.34550965824603824,0.11518383257052092,7
克利斯,-0.18635858368718108,0.4742830201560609,8
精神,-0.08230844008267608,-0.13199808067138963,9
人生,0.004359971961921046,0.46044459519609626,10
人類,0.4517759862684163,0.14627344582310917,11
馬來亞,-0.8427601452640481,0.5570209784627788,12
目標,0.16196930510215715,-0.9872261670328144,13
燦爛,-0.42816326449492853,0.7224789417101601,14
個性,-0.6584335342260659,0.7261412372691389,15
主義者,0.894644254124,-0.3269020419434553,16
酒鬼,0.4079577531291634,-0.6479917404517842,17
十條,0.8670668537585604,0.14938747174866168,18
雜誌,0.4371314483114251,-0.88729001949085,19
阿端,-0.30040732370098344,0.8813540911894497,20
時間,0.5150807264773031,-0.5306653389105094,21
文藝,-0.6972302652632411,-0.04774023326126628,22
着重,-0.7069464439497731,0.6011289912085518,23
生命,0.1414148150581919,1.0,24
一家,-0.5078857468495751,0.8861535094648691,25
老太婆,-0.13577687631079793,-0.45428423454370825,26
房子,-0.8057028237733729,0.407388136878651,27
中國,-0.32154429484001695,-0.8134670746327478,28
音樂,0.9654084458933655,0.05584622881087786,29
下午,-0.18280750946070046,-0.9677971438944082,30
寫實主義,-0.6114717662596554,-0.7898039174863721,31
司機,0.9968054692543205,-0.26968949843282264,32
太陽,0.8690959638492918,-0.5635725035205511,33
內容,-0.9337110116112911,-0.08423734822270885,34
晚上,0.8994172667013827,0.372979143748771,35
事物,-0.9387326162189411,0.1399725583860871,36
理性,0.6568366182678199,0.7474597529662931,37
革命,-0.48729802948299056,-0.7073055924550754,38
生活,0.2687318782511261,-0.9228038842263632,39
日子,0.7600177331854509,0.48314630224342275,40
兒子,-0.7406767114484754,-0.5475948764940145,41
小說,0.5532388905325931,-0.8080973546775098,42
愛,0.14771884426229415,0.8997362562525797,43
蘿蕾蒂,-0.39348399380124566,-0.9271853304707579,44
時代,0.9816603130709523,0.26687243399491106,45
歌聲,-0.9842142344858056,0.024392414852537136,46
一團,0.7571300330535113,-0.4313473659044843,47
孩子,-0.12078823275188667,0.9615061198469076,48
文化,-0.8565714596562103,-0.5242310115008609,49
文學史,0.8419189317690091,0.5921712076448854,50
瘋狂,-0.889498592157436,0.28411542797184053,51
十九世紀,-0.30817964743861803,0.9777461080982491,52
清明,-0.8663145331785724,-0.39083049179421125,53
忽然,0.5547576907819264,0.7090151739144671,54
詩篇,0.01954101973549639,-0.9044845738825225,55
含羞草,0.9633084065531043,-0.09544889178809847,56
藝術,-0.8722213782718283,-0.26380576222764757,57
事情,-0.6726833762164419,-0.6674802556318412,58
天才,0.7569991896681896,-0.6065294528498869,59
夜風,0.43388931861290836,0.8361701184021092,60
