word,x,y,node_id
人本主義,-0.17824878267337077,0.010326540706498329,0
還有,0.0690100296232294,-0.16787896178182507,1
地方,-0.04297714595747381,-0.22714690276921964,2
一條,-0.12790132914884272,0.181792444564413,3
好像,-0.28860239982780944,0.14898961551455292,4
一陣,-0.005208713383605945,0.23162748405344474,5
一般,-0.2394641169441925,-0.4333154472130682,6
一隻,-0.020422163360900643,0.39142698937804254,7
似的,0.24270314786366873,0.11799447350878771,8
先生,-0.20961933239210792,-0.1401715269092692,9
眼睛,0.09671991862646329,0.14696812135957713,10
人們,-0.37459565923363153,-0.09136913778599376,11
只是,0.057843250691019206,-0.6695470941269488,12
有些,0.2397424083063568,-0.5660488788317157,13
後來,-0.3845421543065665,0.5044375933132998,14
一位,0.40412940488959687,-0.020068686667909532,15
坐在,-0.07191916667152722,0.743483452164808,16
老,-0.5394863710521974,0.008255134572429218,17
死,0.2692742109799499,0.8935778577173461,18
因爲,-0.15347323156911236,-0.7870750603911976,19
就是,-0.40669530932221337,-0.8114602063436227,20
時候,1.0,-0.05210662702019641,21
一切,0.8896239459005832,0.488853720439751,22
大家,-0.9035252553972861,0.29444925549988177,23
一樣,0.6369726303155678,0.011856363562615787,24
朋友,-0.7955332071536936,-0.021713091815161442,25
時間,0.6128022502755902,0.6841040333708545,26
一天,0.22339314092250642,-0.8702414580701743,27
