word,x,y,node_id
人,-0.10954195077489914,0.05411682052034419,0
東西,0.12700958585749764,0.23951496637490746,1
新詩,0.12636915947164382,0.3427929662119832,2
作家,0.17293995587398212,-0.022189558978176337,3
風格,-0.26743258541996096,-0.2257022506722874,4
木偶,0.1787436227173122,-0.1304976058242424,5
母親,0.08691271075083645,-0.41630011572596576,6
世界,-0.14017976235903065,0.2841172203416648,7
太平,-0.6602083510071466,-0.19014884439823787,8
克利斯,0.3182039643171847,-0.41532528776842614,9
文藝,-0.32697120357380277,0.02914385940216482,10
人類,-0.07061808890345218,-0.24044044391332395,11
阿端,0.9544541478747954,0.3506935849818627,12
時間,0.7169464664787382,0.6630736661377138,13
生命,-0.6789982470868253,0.684643276229862,14
老太婆,-0.27888261970493283,-0.5983477582109545,15
着重,0.24649006038934387,0.9297848817041718,16
馬來亞,-0.8287777307829709,-0.514035785523998,17
主義者,0.9294598353996146,0.18292909203119467,18
目標,-0.15093591530534725,0.9380628859395882,19
個性,0.7557691625427245,0.4449158327379029,20
燦爛,-0.39782147858131883,0.8419083787443664,21
阿順,-0.9091762523734411,0.34725946208850933,22
聲音,0.977686884192804,0.06347573760015766,23
音樂,0.9524526343392036,-0.3893400100104285,24
中國,0.6905992974780248,-0.7482910121397537,25
下午,0.3083714603534012,-0.99528301772317,26
革命,-0.9336816144769948,0.06208598457479177,27
文學,-0.031260236031335126,0.911937161126447,28
天才,-0.3377528925013294,0.9233879578370945,29
太陽,-0.9632116496841941,-0.2517992307433204,30
內容,-0.18426757711783923,-0.9877375872659827,31
理性,0.8008847626652948,-0.6248845623834643,32
生活,0.5764203898593062,0.24104709929758378,33
一家,-0.9859428049482816,0.18137746887504952,34
寫實主義,0.5932205280195176,0.7806200098336522,35
人生,-0.6782485211911747,-0.6207532517491088,36
眼睛,0.9545752004839351,-0.2533651144698329,37
四週,0.4502468969847835,-0.9280485019621941,38
日子,0.8375449237610669,-0.44568026223887547,39
兒子,0.8385795660101829,0.5822050887871676,40
形式,-0.8613669223785122,-0.14754251640542582,41
蘿蕾蒂,-0.8214388269575552,0.41702655622003887,42
小說,-0.6152315344732856,-0.5479301273526451,43
孩子,-0.8054499866717786,0.6784064465977907,44
愛,-0.588958376711647,0.7515848558490773,45
房子,0.11835188676775117,-0.97526418500389,46
一種,-0.20908661335856865,-0.8781258048082158,47
平仄,0.07447518705412466,0.9366433152990349,48
父親,-0.9950250678983865,-0.056105586779331924,49
文化,0.45812590618616733,0.8249888235364313,50
文學史,-0.39011021874232565,-0.884419631402084,51
十九世紀,0.9340977874918046,-0.11074191632536748,52
地方,0.5959048219735703,-0.6696429284643687,53
作品,-0.01424739801356144,-1.0,54
鏗鏘,-0.5400123782647166,0.5801994993625161,55
