word,x,y,node_id
人本,0.4517626502565575,0.08004934325752859,0
一條,0.10576020703963517,0.19992572703307143,1
好像,0.22030460353979414,-0.1166954792516449,2
還有,-0.06327708723257137,0.07622778984499766,3
地方,-0.03169636031207825,-0.15126661412733408,4
一陣,0.33637449315145,0.227775577900285,5
一隻,0.2187100825201129,0.12805992641342043,6
一般,0.03215788032727729,-0.39233459024599177,7
似的,0.3554088458089271,-0.3462240377769329,8
一切,0.4253683431097347,-0.23416584207023305,9
眼睛,-0.10423621873926013,0.4239781962329586,10
人們,0.5565112249235916,-0.08583642780991878,11
後來,0.03978613565097381,0.6373018253705899,12
一位,-0.24040143758878466,-0.03906071056137217,13
朋友,-0.4579050471787711,0.46312437201023643,14
老,0.4367420814430473,-0.5545075922856344,15
一樣,-0.818261910926867,0.13381233893349154,16
先生,-0.5637526456818279,-0.0925684899952143,17
只是,0.5073251430626683,-0.8215723876634404,18
死,0.052383408144896566,0.8701019137483156,19
就是,-0.13287002604917278,-1.0,20
因爲,-0.7232474148648438,-0.5078634192040246,21
時候,0.029832552949705788,-0.9684595546957085,22
坐在,0.3460183000295897,0.782103804187698,23
時間,-0.7354964042281923,0.8667184869707479,24
一天,-0.9370130142438772,-0.38195042673771595,25
公司,0.6937116150882809,0.8033262705218239,26
