word,x,y,node_id
人本主義,0.014905262511717846,-0.15367051856563724,0
還有,-0.18732540437272624,0.06713221593080466,1
地方,-0.025428076375871096,0.12767705764398876,2
一條,-0.1684655388367764,-0.10390610213009606,3
好像,-0.10891119701625332,-0.2567411693800414,4
一陣,0.012618101364551122,-0.4248015048292731,5
一般,0.13985967378493372,0.3064535678879153,6
一隻,-0.21420688055432763,-0.3713655479770958,7
似的,0.23345578039529497,-0.13367107190001834,8
先生,-0.26660433750907997,0.22171111464358417,9
眼睛,0.06507033452381508,-0.01349980482428392,10
人們,0.27399972437460346,-0.2718848084475043,11
只是,-0.4852994771694561,0.4607785503832888,12
有些,-0.25134487311312503,0.6174187000627263,13
後來,-0.6055485887344837,-0.09034995015314859,14
一位,0.023601083004013052,-0.7273047664504897,15
朋友,0.10019439999843988,0.5384657815083247,16
老,-0.22398456418833987,-0.7432908633257214,17
坐在,0.4366274486877403,0.11631155392433032,18
死,-0.6284432977574468,-0.7287209281609606,19
因爲,0.1409616318546645,1.0,20
就是,0.9820465580834641,0.09875260376332268,21
時候,0.9578056314134493,-0.5392479827192872,22
一切,0.021570355223068414,0.8616252765942201,23
大家,-0.9049850903863996,-0.12818425965425626,24
一樣,0.620703355160199,0.10104351013880677,25
時間,-0.5716553218753162,0.8069678557155128,26
一天,0.6187833075096466,-0.6376985096790115,27
